Year,Age,Weight,Length,Sex,Maturity
2002,7,2.6,640,Female,1
2002,21,3.3,650,Male,3
2002,8,2.4,610,Female,1
2002,26,3,620,Male,6
2002,8,2.5,610,Female,1
2002,10,4.1,700,Female,3
2002,21,7.3,870,Female,3
2002,12,3.9,690,Female,3
2002,9,3.2,660,Female,2
2002,10,5,740,Female,3
2002,8,2.6,610,Male,2
2002,7,3.2,670,Female,2
2002,7,2.5,620,Male,2
2002,7,2.1,590,Female,1
2002,19,4,680,Male,6
2002,9,1.9,550,Male,2
2002,7,3.2,640,Female,3
2002,8,2.8,630,Female,2
2002,8,2.3,590,Male,2
2002,11,2.7,600,Female,3
2002,12,4,700,Female,3
2002,8,2.2,590,Male,1
2002,7,2.57,630,Male,3
2002,51,5.54,790,Female,5
2002,12,4.29,730,Female,3
2002,55,6.48,810,Male,6
2002,20,5.52,800,Female,3
2002,26,4.49,740,Female,3
2002,7,3.89,710,Female,3
2002,28,4.19,700,Female,3
2002,13,3.01,640,Male,3
2002,46,8.89,900,Female,5
2002,32,3.75,700,Male,3
2002,28,3.26,670,Male,3
2002,9,2.19,580,Male,1
2002,13,2.85,610,Female,2
2002,10,2.71,610,Female,3
2002,7,2.3,580,Male,2
2002,10,3.6,680,Female,3
2002,38,4.1,730,Male,6
2002,15,2.42,620,Female,1
2002,11,3.27,670,Female,3
2002,25,7.9,880,Female,3
2002,7,2.94,630,Female,3
2002,28,3.38,650,Male,3
2002,7,3.05,650,Female,2
2002,38,4.65,750,Female,3
2002,8,3.42,650,Female,3
2002,10,2.56,590,Male,3
2002,9,1.75,530,Female,1
2002,8,2.98,640,Female,2
2002,28,5.91,820,Female,3
2002,14,4.8,750,Female,3
2002,33,3.51,650,Male,3
2002,14,5.16,740,Female,3
2002,25,4.86,730,Female,3
2002,7,1.82,530,Male,1
2002,24,3.46,670,Male,6
2002,43,3.8,720,Male,6
2002,28,5.88,830,Male,6
2002,9,1.75,550,Female,1
2002,24,3.44,670,Male,3
2002,31,3.5,690,Male,6
2002,35,3.16,650,Male,3
2002,26,4.09,700,Male,3
2002,16,2.69,620,Male,3
2002,34,3.66,710,Male,6
2002,31,3.17,640,Male,3
2002,33,4.79,760,Male,3
2002,52,3.66,670,Male,3
2002,11,2.99,660,Female,2
2002,13,3.5,650,Female,3
2002,8,2.77,610,Male,3
2002,8,3.62,620,Female,3
2002,18,3.15,660,Male,3
2002,10,2.33,600,Female,1
2002,8,1.89,560,Male,1
2002,11,4.19,720,Female,3
2002,8,2.85,610,Male,3
2002,10,3.27,670,Female,3
2002,42,8.4,880,Female,3
2002,12,2.38,580,Male,1
2002,13,2.93,630,Male,3
2002,12,2.15,580,Female,1
2002,7,2.9,650,Female,1
2002,8,2.04,600,Female,1
2002,10,3.67,670,Female,3
2002,13,2.65,620,Female,1
2002,27,4.73,730,Male,3
2002,7,2.11,570,Male,2
2002,7,1.88,550,Male,1
2002,25,3.6,640,Male,3
2002,29,3.36,680,Male,3
2002,7,2.9,630,Female,2
2002,6,2.6,580,Male,3
2002,23,5.6,770,Female,3
2002,26,3.4,650,Female,3
2002,25,5.1,780,Female,3
2002,16,4.9,750,Female,3
2002,8,4.5,740,Female,3
2002,33,4.1,710,Female,6
2002,29,3.2,620,Male,6
2002,9,4.1,730,Female,3
2002,34,7.1,870,Female,6
2002,28,7.9,850,Female,6
2002,17,6.2,820,Female,3
2002,16,5.7,780,Female,6
2002,19,7.4,880,Female,3
2002,10,3,670,Female,3
2002,9,3.4,670,Female,3
2002,42,4.3,690,Male,6
2002,10,4.1,560,Female,1
2002,10,2.3,590,Male,3
2002,15,4.8,790,Female,3
2002,19,5.8,800,Female,6
2002,56,7.6,830,Male,6
2002,26,5.7,770,Female,6
2002,34,4.2,710,Female,6
2002,11,3.1,860,Female,3
2002,49,5,700,Male,6
2002,26,6.4,790,Female,3
2002,35,6.2,790,Female,3
2002,23,5.8,780,Female,3
2002,45,3.9,710,Male,6
2002,7,2.8,630,Male,3
2002,7,2,560,Male,1
2002,40,4.1,710,Male,6
2002,26,7.9,880,Female,6
2002,9,1.9,550,Male,3
2002,23,3.5,660,Male,3
2002,15,4.3,770,Female,6
2002,44,3.8,690,Male,6
2002,18,5.2,780,Female,3
2002,23,6,800,Female,6
2002,24,3.4,680,Male,6
2002,31,3.4,640,Male,6
2002,11,3.5,660,Female,6
2002,6,2.4,580,Female,2
2002,10,1.6,530,Male,1
2002,7,2.2,590,Female,2
2002,7,2.6,590,Male,3
2002,7,3.1,650,Female,6
2002,6,2.3,590,Female,2
2002,7,2.1,570,Female,6
2002,11,4.3,710,Female,3
2002,6,1.7,520,Male,1
2002,7,4.1,680,Female,3
