Lake,Fecundity
Lake1,3745
Lake1,3440
Lake1,3686
Lake1,4810
Lake1,4582
Lake1,3120
Lake1,3345
Lake1,3327
Lake1,3388
Lake1,4128
Lake1,2717
Lake1,3452
Lake1,3426
Lake1,3338
Lake1,4144
Lake1,3873
Lake1,4094
Lake1,2858
Lake1,4183
Lake1,3425
Lake1,3611
Lake1,2780
Lake1,3753
Lake1,3573
Lake1,4052
Lake1,3475
Lake1,3162
Lake1,3500
Lake1,2908
Lake1,4437
Lake1,2662
Lake1,3598
Lake1,3080
Lake1,3963
Lake1,4549
Lake1,5844
Lake1,3505
Lake1,4079
Lake1,3096
Lake1,2877
Lake1,1743
Lake1,4592
Lake1,3157
Lake1,3132
Lake1,4148
Lake1,3454
Lake1,4489
Lake1,5110
Lake1,2046
Lake1,2975
Lake1,3019
Lake1,4669
Lake1,2981
Lake1,3530
Lake1,3279
Lake1,3319
Lake1,2979
Lake1,3003
Lake1,3667
Lake1,4806
Lake1,4226
Lake1,3584
Lake1,3158
Lake1,2602
Lake1,2425
Lake1,2836
Lake1,3330
Lake1,4278
Lake1,3286
Lake1,3243
Lake1,3037
Lake1,2901
Lake1,2950
Lake1,2635
Lake1,3705
Lake1,3530
Lake1,4149
Lake1,3286
Lake1,3131
Lake1,3502
Lake1,5018
Lake1,2290
Lake1,4562
Lake1,3187
Lake1,2180
Lake1,4988
Lake1,3234
Lake1,2821
Lake1,3803
Lake1,3684
Lake1,2560
Lake1,3377
Lake1,3980
Lake1,3043
Lake1,3664
Lake1,4238
Lake1,2817
Lake1,5109
Lake1,3769
Lake1,3298
Lake1,2688
Lake1,4161
Lake1,3380
Lake1,3897
Lake1,4488
Lake1,2916
Lake1,3505
Lake1,3585
Lake1,3254
Lake1,3671
Lake1,4573
Lake1,3204
Lake1,5082
Lake1,3589
Lake1,3393
Lake1,3735
Lake1,3608
Lake1,3032
Lake1,2567
Lake1,2592
Lake1,2739
Lake1,3141
Lake1,2441
Lake1,2563
Lake1,3117
Lake1,2580
Lake1,2515
Lake1,2746
Lake1,3029
Lake1,3197
Lake1,3783
Lake1,2735
Lake1,2755
Lake1,3311
Lake1,3405
Lake1,2646
