date,lat,long,set,pull,mesh,nets,fish,site,secchi.dis,secchi.re,air.temp,water.temp,wind.sp,wind.dir,cloud.cov,set.time,CPUE,julian.date
7/29/2020,63.900517,-160.813683,14:02,15:15,"7/8""",1,0,UNK,0.75,0.5,62,56,12,SE,100,1.2166666666666666,0,211
7/30/2020,64.03715,-160.9262,10:58,12:02,"7/8""",1,0,UNK,0.5,0.4,59,52,10,NA,90,1.0666666666666667,0,212
7/30/2020,63.82572,-160.76588,9:28,10:53,"7/8""",1,1,UNK,0.5,0.4,59,58,5,E,100,1.4166666666666667,0.7058823529411764,212
7/30/2020,63.97997,-160.88122,12:40,14:20,"7/8""",1,2,UNK,0.5,0.4,56,56,12,SE,100,1.6666666666666667,1.2,212
7/31/2020,63.98072,-160.88163,11:31,13:00,"7/8""",1,0,UNK,0.6,0.4,NA,NA,12,SE,95,1.4833333333333334,0,213
7/31/2020,64.27227,-161.04572,12:05,13:30,"7/8""",1,1,SHK,0.5,0.25,NA,58,5,S,100,1.4166666666666667,0.7058823529411764,213
7/31/2020,64.30035,-161.10313,20:03,22:00,"7/8""",1,1,SHK,1,0.7,NA,57,2,N,100,1.95,0.5128205128205129,213
7/31/2020,64.31847,-161.1344,13:50,16:00,"7/8""",1,2,SHK,0.25,0.1,NA,57,5,SW,100,2.1666666666666665,0.9230769230769231,213
7/31/2020,64.30035,-161.10313,9:50,11:45,"7/8""",1,3,SHK,0.5,0.25,NA,58,5,S,100,1.9166666666666667,1.5652173913043477,213
8/1/2020,64.27188,-161.04538,11:55,14:00,"7/8""",1,1,SHK,1,0.75,NA,57,20,NE,25,2.0833333333333335,0.48,214
8/3/2020,63.980033,-160.880867,13:55,16:45,"7/8""",1,0,UNK,0.6,0.3,NA,58,12,NW,20,2.8333333333333335,0,216
8/3/2020,63.906283,-160.8181,16:00,16:50,"5/8""",1,0,UNK,0.75,0.5,65,59,15,NW,15,0.8333333333333334,0,216
8/3/2020,63.952817,-160.851717,14:00,16:00,"5/8""",1,2,UNK,2.2,2.1,65,59,15,NW,60,2,1,216
8/4/2020,63.91225,-160.819833,9:11,11:45,"5/8""",1,3,UNK,0.4,0.3,58,58,2,S,87,2.566666666666667,1.1688311688311688,217
8/5/2020,65.85706,-160.78398,12:11,13:40,"5/8""",1,1,UNK,0.4,0.2,NA,NA,1,W,89,1.4833333333333334,0.6741573033707865,218
8/5/2020,64.27306,-161.04833,13:00,14:00,combined,2,1,SHK,1,0.75,NA,58,NA,,90,1,0.5,218
8/5/2020,64.18247,-160.95675,14:15,15:30,"5/8""",1,1,SHK,1.5,1.25,NA,59,NA,,50,1.25,0.8,218
8/5/2020,64.20107,-160.95113,9:21,10:45,"7/8""",1,2,SHK,1,0.75,51,54,NA,,85,1.4,1.4285714285714286,218
8/5/2020,64.2434,-160.99139,11:42,12:42,"7/8""",1,2,SHK,1,0.75,58,53,5,N,75,1,2,218
8/6/2020,64.31816,-161.13553,17:40,18:40,"5/8""",1,0,SHK,1,0.75,NA,57,7,SSE,75,1,0,219
8/6/2020,64.30087,-161.10278,8:45,10:30,"5/8""",1,3,SHK,1.5,1.25,54,56,5,SE,100,1.75,1.7142857142857142,219
8/6/2020,64.01718,-160.91241,12:15,15:30,"5/8""",1,18,UNK,2.2,2.1,59,57,5,NW,60,3.25,5.538461538461538,219
