Survey,Year,Cruise Join ID,Haul Join ID,Cruise Number,Vessel Number,Haul Number,Starting Latitude (dd),Starting Longitude (dd),Ending Latitude (dd),Ending Longitude (dd),Stratum,Stratum INPFC Area,Stratum Min Depth (m),Stratum Max Depth (m),Stratum Description,Stratum Regulatory Area Name,Stratum Type,Domain,Density,Gear Performance,Satifactory Gear Performance,Gear Performance Description,Gear Depth,Bottom Depth,Specimen ID,Biostratum,Species Code,Common Name,Scientific Name,Length (mm),Sex,Weight (gm),Age (years),Maturity,Maturity Table,Gonad Weight,Specimen Subsample Method,Specimen Sample Type,Age Determination Method,AKFIN Load Date
EBS_SHELF,2015,-697,-14122,201501,94,56,57.68633,-166.50175,57.6622,-166.51743,31,,,,"50-100m in SE section, low density - MIDDLE DOMAIN",,,,,0,Y,Good performance,64,66,2,0,10115,Greenland turbot,Reinhardtius hippoglossoides,550,Female,1366,6,,,,6,1,3,16-Oct-20
EBS_SHELF,2019,-726,-19305,201901,94,162,59.97039,-171.30051,59.99549,-171.30382,41,,,,"50-100m in NW section, low density, - MIDDLE DOMAIN",,,,,0,Y,Good performance,67,69,14,0,10115,Greenland turbot,Reinhardtius hippoglossoides,710,Female,3405,10,,,,6,1,8,16-Oct-20
EBS_SHELF,2019,-726,-19402,201901,94,165,60.33568,-171.36549,60.33988,-171.31384,41,,,,"50-100m in NW section, low density, - MIDDLE DOMAIN",,,,,0,Y,Good performance,64,66,17,0,10115,Greenland turbot,Reinhardtius hippoglossoides,720,Female,3530,10,,,,6,1,8,16-Oct-20
EBS_SHELF,2019,-726,-19410,201901,94,169,60.68481,-172.11585,60.65931,-172.10832,41,,,,"50-100m in NW section, low density, - MIDDLE DOMAIN",,,,,0,Y,Good performance,59,61,25,0,10115,Greenland turbot,Reinhardtius hippoglossoides,760,Female,3975,9,,,,6,1,8,16-Oct-20
EBS_SHELF,2015,-697,-14560,201501,94,127,58.65545,-170.42843,58.67787,-170.45499,41,,,,"50-100m in NW section, low density, - MIDDLE DOMAIN",,,,,0,Y,Good performance,71,73,4,0,10115,Greenland turbot,Reinhardtius hippoglossoides,510,Male,1078,7,,,,6,1,8,16-Oct-20
EBS_SHELF,2017,-711,-16991,201701,162,142,60.65986,-174.12038,60.68313,-174.13668,41,,,,"50-100m in NW section, low density, - MIDDLE DOMAIN",,,,,0,Y,Good performance,84,86,41,0,10115,Greenland turbot,Reinhardtius hippoglossoides,610,Male,1970,10,,,,6,1,8,16-Oct-20
EBS_SHELF,2017,-711,-16992,201701,162,143,60.97653,-174.16499,60.99489,-174.20033,41,,,,"50-100m in NW section, low density, - MIDDLE DOMAIN",,,,,0,Y,Good performance,81,83,42,0,10115,Greenland turbot,Reinhardtius hippoglossoides,590,Male,1645,10,,,,6,1,8,16-Oct-20
EBS_SHELF,2017,-711,-16992,201701,162,143,60.97653,-174.16499,60.99489,-174.20033,41,,,,"50-100m in NW section, low density, - MIDDLE DOMAIN",,,,,0,Y,Good performance,81,83,50,0,10115,Greenland turbot,Reinhardtius hippoglossoides,660,Female,2605,8,,,,6,1,8,16-Oct-20
EBS_SHELF,2017,-711,-16992,201701,162,143,60.97653,-174.16499,60.99489,-174.20033,41,,,,"50-100m in NW section, low density, - MIDDLE DOMAIN",,,,,0,Y,Good performance,81,83,52,0,10115,Greenland turbot,Reinhardtius hippoglossoides,490,Female,885,5,,,,6,1,8,16-Oct-20
EBS_SHELF,2015,-698,-14397,201501,162,131,58.3223,-169.72886,58.34535,-169.74906,41,,,,"50-100m in NW section, low density, - MIDDLE DOMAIN",,,,,0,Y,Good performance,67,69,2,0,10115,Greenland turbot,Reinhardtius hippoglossoides,500,Male,1120,6,,,,6,1,3,16-Oct-20
